,stopping_criteria,answer_how,sampling_strategy,aggregation_strategy,k,model,accuracy,entropy,length
175,end_token,answer_first,top_k,dirichlet,2,microsoft_phi_4_mini_instruct,0.66,0.24381109236062434,198.22
176,end_token,answer_first,top_k,dirichlet,2,microsoft_phi_4_mini_reasoning,0.62,0.11139894666925543,200.0
177,end_token,answer_first,top_k,dirichlet,2,Qwen_Qwen2_5_3B_Instruct,0.8,0.2039378721325183,200.0
178,end_token,answer_first,top_k,dirichlet,2,Qwen_Qwen2_5_0_5B_Instruct,0.32,0.21413300191228823,200.0
179,end_token,answer_first,top_k,dirichlet,2,Qwen_Qwen3_0_6B,0.4,0.2629996889347116,200.0
180,end_token,answer_first,top_k,dirichlet,2,Qwen_Qwen3_1_7B,0.64,0.10034186963660896,200.0
181,end_token,answer_first,top_k,dirichlet,2,Qwen_Qwen3_4B,0.56,0.08967812210838846,200.0
182,end_token,answer_first,top_k,dirichlet,4,microsoft_phi_4_mini_instruct,0.54,0.3877182896348063,197.96
183,end_token,answer_first,top_k,dirichlet,4,microsoft_phi_4_mini_reasoning,0.68,0.13368699313325763,200.0
184,end_token,answer_first,top_k,dirichlet,4,Qwen_Qwen2_5_3B_Instruct,0.84,0.29661974337275276,200.0
185,end_token,answer_first,top_k,dirichlet,4,Qwen_Qwen2_5_0_5B_Instruct,0.3,0.3166837960511537,200.0
186,end_token,answer_first,top_k,dirichlet,4,Qwen_Qwen3_0_6B,0.44,0.38365927424647156,200.0
187,end_token,answer_first,top_k,dirichlet,4,Qwen_Qwen3_1_7B,0.62,0.11825737881505916,200.0
188,end_token,answer_first,top_k,dirichlet,4,Qwen_Qwen3_4B,0.64,0.10061458501319562,200.0
189,end_token,answer_first,top_k,dirichlet,8,microsoft_phi_4_mini_instruct,0.62,0.45164816414054265,196.68
190,end_token,answer_first,top_k,dirichlet,8,microsoft_phi_4_mini_reasoning,0.58,0.1361811553502403,200.0
191,end_token,answer_first,top_k,dirichlet,8,Qwen_Qwen2_5_3B_Instruct,0.7,0.330432437009725,200.0
192,end_token,answer_first,top_k,dirichlet,8,Qwen_Qwen2_5_0_5B_Instruct,0.22,0.3597713573935888,200.0
193,end_token,answer_first,top_k,dirichlet,8,Qwen_Qwen3_0_6B,0.44,0.40555575422035284,199.8
194,end_token,answer_first,top_k,dirichlet,8,Qwen_Qwen3_1_7B,0.56,0.1197141200779864,200.0
195,end_token,answer_first,top_k,dirichlet,8,Qwen_Qwen3_4B,0.6,0.09863171794474543,200.0
196,end_token,answer_first,top_k,second_moment,1,microsoft_phi_4_mini_instruct,0.0,0.0,116.52
197,end_token,answer_first,top_k,second_moment,1,microsoft_phi_4_mini_reasoning,0.04,0.0,62.34
198,end_token,answer_first,top_k,second_moment,1,Qwen_Qwen2_5_3B_Instruct,0.66,0.0,200.0
199,end_token,answer_first,top_k,second_moment,1,Qwen_Qwen2_5_0_5B_Instruct,0.08,0.0,199.9
200,end_token,answer_first,top_k,second_moment,1,Qwen_Qwen3_0_6B,0.0,0.0,200.0
201,end_token,answer_first,top_k,second_moment,1,Qwen_Qwen3_1_7B,0.5,0.0,200.0
202,end_token,answer_first,top_k,second_moment,1,Qwen_Qwen3_4B,0.64,0.0,200.0
203,end_token,answer_first,top_k,second_moment,2,microsoft_phi_4_mini_instruct,0.02,0.8290457527683072,74.76
204,end_token,answer_first,top_k,second_moment,2,microsoft_phi_4_mini_reasoning,0.06,0.710599963559966,23.48
205,end_token,answer_first,top_k,second_moment,2,Qwen_Qwen2_5_3B_Instruct,0.76,0.7572740027568999,200.0
206,end_token,answer_first,top_k,second_moment,2,Qwen_Qwen2_5_0_5B_Instruct,0.06,0.8967217436262541,200.0
207,end_token,answer_first,top_k,second_moment,2,Qwen_Qwen3_0_6B,0.0,0.6497267445618358,200.0
208,end_token,answer_first,top_k,second_moment,2,Qwen_Qwen3_1_7B,0.44,0.23418668704295356,200.0
209,end_token,answer_first,top_k,second_moment,2,Qwen_Qwen3_4B,0.72,0.8217988750873879,200.0
210,end_token,answer_first,top_k,second_moment,4,microsoft_phi_4_mini_instruct,0.0,1.5446413720037184,58.0
211,end_token,answer_first,top_k,second_moment,4,microsoft_phi_4_mini_reasoning,0.04,1.4039551746152366,37.4
212,end_token,answer_first,top_k,second_moment,4,Qwen_Qwen2_5_3B_Instruct,0.78,1.3188805111388484,200.0
213,end_token,answer_first,top_k,second_moment,4,Qwen_Qwen2_5_0_5B_Instruct,0.04,1.7151217419232547,200.0
214,end_token,answer_first,top_k,second_moment,4,Qwen_Qwen3_0_6B,0.0,0.8234556156908728,200.0
